"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"WE4.4",2,9,1,8,1,8,1990,2019,4,8,3,7,3,7,440,TRUE,37.11015,-76.293,385117,4107873
"WES000.18",0.7,2.76,0.25,2.5,2,11,2007,2009,0.893,2.414,0.75,2.25,4,10,84,FALSE,38.02855,-76.5509,363883,4210117
"WES001.66",1.22,1.9,1,1.75,5,8,2019,2019,1.26,1.876,1.2,1.75,5.8,8,9,FALSE,36.87361,-76.10696,401343,4081424
"WES002.98",0.7,1.99,0.5,1.75,3,8,2019,2019,1,1.751,0.75,1.575,4,7.3,18,FALSE,36.85732,-76.12025,400137,4079630
"WIW0089",3.6,6.1,3.3,5.8,5,7,2006,2008,3.9,5.8,3.6,5.5,5,7,21,FALSE,38.2966,-75.7585,433674,4238996
"WIW0141",0.8,6,0,0,1,1,2003,2019,2.8,5,0,0,1,1,192,FALSE,38.34153,-75.69569,439204,4243938
"WIW0144",0.8,11.4,0.5,4.8,1,6,2006,2008,0.93,4,0.63,3.67,1,5,64,FALSE,38.3422,-75.6892,439772,4244008
"WIW0198",1.6,6.1,1.3,5.8,3,7,2006,2008,3.8,5.7,3.5,5.4,5,7,21,FALSE,38.3519,-75.6198,445844,4245041
"WT1.1",1,3.5,0.5,2.8,1,5,1990,2019,1.9,2.7,1,1.8,2,3,349,TRUE,39.43511,-76.24205,393108,4365799
"WT2.1",1,3.6,0.5,2.6,1,4,1990,2019,1.6,2.5,0.7,1.5,2,3,358,TRUE,39.37747,-76.33465,385044,4359515
"WT3.1",2,4.5,1,3.8,2,7,1990,2019,3.1,4,2.1,3,3,4,358,TRUE,39.30538,-76.40954,378469,4351612
